id,composition_id,o.sxx,o.syy,o.szz,o.sxy,o.syz,o.szx
1896733,Al2 H18 Mg1 O18 P2,50.18534,49.69484,49.67772,-0.20668,-1.07485,0.85601
1899701,Al2 H18 Mn1 O18 P2,51.42862,50.96441,52.11479,5.5014,-0.31545,4.35863
1899720,Al1 Ge1 Li1 O4,44.36755,44.36755,42.29329,0.0,0.0,0.0
1899736,Al1 Li1 O4 Si1,43.57507,43.57507,43.5865,0.0,0.0,0.0
1900896,Al2 O4 Sr1,35.88798,35.86646,31.90196,-0.03323,0.0,0.0
1901988,Al2 Ca1 O4,41.09862,41.06809,38.47593,-0.02471,0.0,0.0
1923094,Al4 Ca1 H2 O12 Si2,50.00769,48.43805,48.92556,0.0,0.0,0.00214
1926973,Al2 Fe1 H18 O18 P2,52.0306,57.68784,55.40957,-4.94039,5.1852,-2.66324
1954338,Al2 Ge8 Sc11,4.25707,4.25707,5.06668,0.0,0.0,0.0
1956202,Al1 Ce1 Pd1,10.17995,10.46727,9.65561,0.0,0.0,0.0
2200349,Al1 C1 F5 O3 Sr2,62.81543,58.78538,62.9977,0.0,0.0,0.09945
2203575,Al3 F19 Pb5,66.7029,66.7029,72.39973,0.0,0.0,0.0
2205057,Al2 S4 Sr1,5.33237,3.68541,3.46484,0.0,0.0,0.0
2205099,Al1 As2 Cs3,0.87723,0.72985,0.62759,0.0,0.0,-0.08693
2205399,Al1 K3 P2,2.2487,2.24384,2.30281,-0.05653,0.08303,0.09957
2206978,Al6 F34 Na2 Sr7,73.39842,73.28466,75.54529,0.0,0.0,0.86559
2207005,Al13 Rh4,-0.97554,3.98477,0.48073,0.0,0.0,-0.08398
2207195,Al3 Lu1 O8 Pb2,39.65354,39.65354,39.65354,0.0,0.0,0.0
2207198,Al1 Cs3 O3,17.01594,17.34979,17.39803,0.0,0.0,-0.74747
2207335,Al1 As3 Cl4 Se4,3.43315,4.16973,3.66945,0.0,0.0,0.17486
2208395,Al2 C1 Ca4 H22 O20,43.88749,42.27211,43.74883,-0.33823,-2.74459,0.3369
2208610,Al4 Mn13 O28 Sb2 Si2,46.20181,45.40592,46.98552,0.01759,-0.0035,0.31666
2208630,Al1 H3 O3,53.17463,51.21297,48.37705,0.00262,0.0117,-0.15593
2208765,Al2 Be3 O18 Si6,50.65779,50.64136,49.35844,-0.01423,0.0,0.0
2339031,Al1 As2 K3,0.73165,0.89003,1.08774,0.053,0.13454,-0.16459
2339594,Al2 H4 K1 Ni1 O14 P3,44.11355,42.52874,47.03376,0.0,0.0,-1.25434
2339689,Al6 B3 F1 Fe3 Na1 O30 Si6,57.35379,57.35379,53.51217,0.0,0.0,0.0
2339879,Al2 Ca1 H6 O13 Si3,36.70613,36.83952,38.80259,0.0,0.0,1.78719
2340299,Al45 V7,-0.72445,-1.27774,-0.85968,0.0,0.0,0.0333
2340317,Al13 Ru4,0.13773,0.75578,0.03831,0.0,0.0,0.02546
2340400,Al1 Cs3 P2,1.46846,1.13493,1.07392,0.0,0.0,-0.0573
2340428,Al2 Sb6 Sr5,1.29285,1.52584,1.35564,0.0,0.0,0.0
2340582,Al10 Ca1 Cr2,2.05087,2.05087,2.20903,0.0,0.0,0.0
2340706,Al45 Cr7,3.32471,3.04387,3.75191,0.0,0.0,0.97447
2341089,Al4 H3 O15 P3,56.70879,57.40739,56.98114,0.0,0.0,-0.1323
2341957,Al1 F6 K3,61.29394,61.29394,62.8121,0.0,0.0,0.0
2341980,Al6 Ce3 Pt4,4.25857,5.46864,3.86318,0.0,0.0,0.0
2342297,Al4 B12 Be4 Cs1 O28,69.58951,69.58951,69.58951,0.0,0.0,0.0
2342983,Al2 Ba1 O8 Si2,36.52773,39.31651,39.61249,0.0,0.0,-0.83019
2343449,Al38 Co12 Cu1,5.96084,6.6453,7.81709,0.0,0.0,-0.42291
2343471,Al2 Cl8 Hg3,7.41481,7.24029,7.30569,0.0,0.0,0.08935
2343667,Al1 Ba3 F9,58.91642,56.88622,57.41846,0.0,0.0,0.0
2343856,Al12 Co4 Cu1,5.27699,5.43751,4.5542,0.0,0.0,-0.27132
2344148,Al2 O8 Pb1 Si2,40.20944,41.40195,41.05922,0.0,0.0,-0.35568
2344152,Al4 F9 K3 O8 P2,57.71617,61.18559,55.24459,0.0,0.0,1.941
2344231,Al2 Ca2 F4 H5 Na1 O11 P2,57.04786,58.00258,55.26577,0.0,0.0,-0.87397
2344680,Al2 Ba1 O8 Si2,40.7916,40.8133,39.89143,5e-05,0.0014,-0.07377
2344821,Al2 Ca1 O8 Si2,49.23369,50.18644,50.45907,-0.65551,-0.03693,0.07654
2344977,Al12 Ru1,-1.325,-1.325,-1.325,0.0,0.0,0.0
2345051,Al4 Ba1 Na2 O16 Si4,36.84515,39.57019,39.2277,0.0,0.0,0.0
2345069,Al3 F19 Pb5,72.51693,72.51693,74.91015,0.0,0.0,0.0
2345167,Al4 Ni3,12.22205,12.22205,12.22205,0.0,0.0,0.0
2345175,Al19 Co6 Pr2,1.97076,0.95971,1.41901,0.0,0.0,-0.20205
2345237,Al2 F1 H8 K1 O12 P2,42.65565,44.90342,41.06838,0.0,0.0,0.0
2345302,Al23 V4,-0.21355,-0.2193,0.80129,0.0,0.0,0.0
2345641,Al2 Ca1 O4,37.97998,42.04974,41.44185,0.0,0.0,-4.03039
2345675,Al3 Ba5 F19,66.32409,66.32409,71.14418,0.0,0.0,0.0
2345687,Al2 Ca1 H6 O13 Si3,43.11412,42.75825,41.46864,-0.01407,0.08534,2.05941
2345781,Al1 F2 Na5 O8 P2,46.80077,46.72684,45.80472,-0.05772,0.00273,0.00501
2345956,Al19 Ni5 Y3,5.20053,2.72591,2.83593,0.0,0.0,0.0
2345999,Al1 Ce3 Ge5 O16,47.18577,46.50328,47.39393,-0.02161,-0.19306,0.19795
2346112,Al19 Gd3 Ni5,3.06972,2.45605,1.34979,0.0,0.0,0.0
2346129,Al4 Na2 O16 Si4 Sr1,38.03334,43.05346,42.50938,0.0,0.0,0.0
2346162,Al22 Mo5,0.60793,0.64668,0.96308,0.0,0.0,0.0
2346376,Al23 V4,-0.41,-0.4943,-1.2183,0.0,0.0,0.0
2346796,Al1 Ca1 H5,26.62194,26.96518,27.20905,0.0,0.0,-0.13241
2346834,Al8 Be1 Mg3 O16,56.20467,56.1456,56.31021,-0.0514,0.0,0.0
2346850,Al4 Be1 Mg1 O8,42.95636,42.91016,43.13479,0.0,0.0,0.0
2346870,Al1 Cl1 Cu1 H28 O22 S2,41.56043,41.43718,39.96944,0.3934,0.15874,-0.1069
2347014,Al1 Na1 O4 Si1,37.1858,36.95298,37.37399,0.0,0.0,0.0
2347077,Al1 O9 P3,41.81371,39.63978,40.26507,0.0,0.0,-0.79791
2347088,Al2 B2 O7 Rb2,30.51495,31.35911,30.1585,0.0,0.0,1.07944
2347099,Al1 B2 H7 O13 P2,60.8206,58.59412,55.56989,0.0,0.0,-1.90803
